taxonomy_id	ensembl_gene_id	symbol	gene_chrom_start	gene_chrom_end	chr_name	chrom_strand	description	type_of_gene
28377	ENSACAG00000000683	SMYD5	147	7567	GL343815.1	1	SMYD family member 5 [Source:HGNC Symbol;Acc:HGNC:16258]	protein_coding
28377	ENSACAG00000006488	MTX2	260502	315109	GL343356.1	-1	metaxin 2 [Source:HGNC Symbol;Acc:HGNC:7506]	protein_coding
28377	ENSACAG00000024617		1040	39794	GL343978.1	1		protein_coding
28377	ENSACAG00000010065	HSPA12A	1900869	1976782	GL343206.1	1	heat shock protein family A (Hsp70) member 12A [Source:HGNC Symbol;Acc:HGNC:19022]	protein_coding
28377	ENSACAG00000000676	PRADC1	10724	26317	GL343815.1	-1	protease associated domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16047]	protein_coding
28377	ENSACAG00000006543		360930	363482	GL343356.1	-1		protein_coding
28377	ENSACAG00000004127	KCNAB3	12542	31422	GL343784.1	1	potassium voltage-gated channel subfamily A regulatory beta subunit 3 [Source:HGNC Symbol;Acc:HGNC:6230]	protein_coding
28377	ENSACAG00000001830		38787	53493	GL344342.1	1		protein_coding
28377	ENSACAG00000017904	HOXD3	402731	409310	GL343356.1	-1	homeobox D3 [Source:HGNC Symbol;Acc:HGNC:5137]	protein_coding
28377	ENSACAG00000002990		4820	22604	GL343875.1	1		protein_coding
28377	ENSACAG00000009396	UCP3	51675	84185	GL343978.1	1	uncoupling protein 3 [Source:HGNC Symbol;Acc:HGNC:12519]	protein_coding
28377	ENSACAG00000000398	CCT7	33869	46690	GL343815.1	1	chaperonin containing TCP1 subunit 7 [Source:HGNC Symbol;Acc:HGNC:1622]	protein_coding
28377	ENSACAG00000016585	CNIH1	209278	222430	GL343533.1	-1	cornichon family AMPA receptor auxiliary protein 1 [Source:HGNC Symbol;Acc:HGNC:19431]	protein_coding
28377	ENSACAG00000017905	HOXD4	478136	480351	GL343356.1	-1	homeobox D4 [Source:HGNC Symbol;Acc:HGNC:5138]	protein_coding
28377	ENSACAG00000023927		3460	16259	GL344026.1	-1		protein_coding
28377	ENSACAG00000017909		518262	536480	GL343356.1	-1		protein_coding
28377	ENSACAG00000011397		7108	9741	GL343969.1	1		protein_coding
28377	ENSACAG00000003002		40366	46266	GL343875.1	-1		protein_coding
28377	ENSACAG00000016607	GMFB	237153	255064	GL343533.1	-1	glia maturation factor beta [Source:HGNC Symbol;Acc:HGNC:4373]	protein_coding
28377	ENSACAG00000004237		43532	68201	GL344026.1	1		protein_coding
28377	ENSACAG00000017910	HOXD10	540758	544447	GL343356.1	-1	homeobox D10 [Source:HGNC Symbol;Acc:HGNC:5133]	protein_coding
28377	ENSACAG00000003014	ASB12	55620	57797	GL343875.1	-1	ankyrin repeat and SOCS box containing 12 [Source:HGNC Symbol;Acc:HGNC:19763]	protein_coding
28377	ENSACAG00000000364		80491	140787	GL343815.1	-1		protein_coding
28377	ENSACAG00000004271		72446	77538	GL344026.1	1		protein_coding
28377	ENSACAG00000007282	HOXD11	556257	559822	GL343356.1	-1	homeobox D11 [Source:HGNC Symbol;Acc:HGNC:5134]	protein_coding
28377	ENSACAG00000011436	TAS1R1	15370	22806	GL343969.1	1	taste 1 receptor member 1 [Source:HGNC Symbol;Acc:HGNC:14448]	protein_coding
28377	ENSACAG00000017914	HOXD12	570379	570618	GL343356.1	-1	homeobox D12 [Source:HGNC Symbol;Acc:HGNC:5135]	protein_coding
28377	ENSACAG00000016424	CGRRF1	264245	282219	GL343533.1	1	cell growth regulator with ring finger domain 1 [Source:HGNC Symbol;Acc:HGNC:15528]	protein_coding
28377	ENSACAG00000009869		2017129	2041833	GL343206.1	-1		protein_coding
28377	ENSACAG00000017915	HOXD13	597232	604336	GL343356.1	-1	homeobox D13 [Source:HGNC Symbol;Acc:HGNC:5136]	protein_coding
28377	ENSACAG00000016355	SAMD4A	300058	450479	GL343533.1	1	sterile alpha motif domain containing 4A [Source:HGNC Symbol;Acc:HGNC:23023]	protein_coding
28377	ENSACAG00000017916	EVX2	628378	632437	GL343356.1	1	even-skipped homeobox 2 [Source:HGNC Symbol;Acc:HGNC:3507]	protein_coding
28377	ENSACAG00000004276	CHD3	58286	133887	GL343784.1	-1	chromodomain helicase DNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:1918]	protein_coding
28377	ENSACAG00000017917	LNPK	733259	805986	GL343356.1	1	lunapark, ER junction formation factor [Source:HGNC Symbol;Acc:HGNC:21610]	protein_coding
28377	ENSACAG00000011517	FHAD1	23106	44937	GL343969.1	-1	forkhead associated phosphopeptide binding domain 1 [Source:HGNC Symbol;Acc:HGNC:29408]	protein_coding
28377	ENSACAG00000028429		487086	488360	GL343533.1	1		protein_coding
28377	ENSACAG00000001502	SIK3	24401	45944	GL343949.1	1	SIK family kinase 3 [Source:HGNC Symbol;Acc:HGNC:29165]	protein_coding
28377	ENSACAG00000011572	TMEM51	48502	49380	GL343969.1	-1	transmembrane protein 51 [Source:HGNC Symbol;Acc:HGNC:25488]	protein_coding
28377	ENSACAG00000009865	PNLIPRP3	2089487	2120129	GL343206.1	-1	pancreatic lipase related protein 3 [Source:HGNC Symbol;Acc:HGNC:23492]	protein_coding
28377	ENSACAG00000010749	PRDM2	180762	201594	GL343969.1	-1	PR/SET domain 2 [Source:HGNC Symbol;Acc:HGNC:9347]	protein_coding
28377	ENSACAG00000010828	DCST1	317	7728	AAWZ02039400	-1	DC-STAMP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26539]	protein_coding
28377	ENSACAG00000022568	TMEM164	3438	5763	GL343376.1	1	transmembrane protein 164 [Source:HGNC Symbol;Acc:HGNC:26217]	protein_coding
28377	ENSACAG00000025174		2165626	2165715	GL343206.1	-1		protein_coding
28377	ENSACAG00000009856		2185394	2199251	GL343206.1	-1		protein_coding
28377	ENSACAG00000001641	APOA4	68211	70358	GL343949.1	1	apolipoprotein A4 [Source:HGNC Symbol;Acc:HGNC:602]	protein_coding
28377	ENSACAG00000004459	CYB5D1	136667	141534	GL343784.1	-1	cytochrome b5 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26516]	protein_coding
28377	ENSACAG00000012909	AMMECR1	18693	89333	GL343376.1	-1	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1 [Source:HGNC Symbol;Acc:HGNC:467]	protein_coding
28377	ENSACAG00000009766	GFRA1	2296305	2587033	GL343206.1	1	GDNF family receptor alpha 1 [Source:HGNC Symbol;Acc:HGNC:4243]	protein_coding
28377	ENSACAG00000004477	NAA38	141687	144072	GL343784.1	1	N(alpha)-acetyltransferase 38, NatC auxiliary subunit [Source:HGNC Symbol;Acc:HGNC:28212]	protein_coding
28377	ENSACAG00000009069	ATRNL1	2745887	3569148	GL343206.1	-1	attractin like 1 [Source:HGNC Symbol;Acc:HGNC:29063]	protein_coding
28377	ENSACAG00000004482	TMEM88	147134	152800	GL343784.1	-1	transmembrane protein 88 [Source:HGNC Symbol;Acc:HGNC:32371]	protein_coding
28377	ENSACAG00000012945	CHRDL1	121578	152711	GL343376.1	-1	chordin like 1 [Source:HGNC Symbol;Acc:HGNC:29861]	protein_coding
28377	ENSACAG00000004490	KDM6B	158025	188486	GL343784.1	-1	lysine demethylase 6B [Source:HGNC Symbol;Acc:HGNC:29012]	protein_coding
28377	ENSACAG00000001726	ZPR1	74516	83300	GL343949.1	1	ZPR1 zinc finger [Source:HGNC Symbol;Acc:HGNC:13051]	protein_coding
28377	ENSACAG00000029266		3229107	3230414	GL343206.1	1		protein_coding
28377	ENSACAG00000009282	TRUB1	3674344	3727762	GL343206.1	-1	TruB pseudouridine synthase family member 1 [Source:HGNC Symbol;Acc:HGNC:16060]	protein_coding
28377	ENSACAG00000013010	PAK3	198618	260709	GL343376.1	1	p21 (RAC1) activated kinase 3 [Source:HGNC Symbol;Acc:HGNC:8592]	protein_coding
28377	ENSACAG00000009309	FAM160B1	3769985	3818669	GL343206.1	-1	family with sequence similarity 160 member B1 [Source:HGNC Symbol;Acc:HGNC:29320]	protein_coding
28377	ENSACAG00000000226		927	221933	GL343685.1	-1		protein_coding
28377	ENSACAG00000025068		255796	256597	GL343685.1	1		protein_coding
28377	ENSACAG00000000401		2681	24215	GL344705.1	-1		protein_coding
28377	ENSACAG00000026111		3643	5069	AAWZ02040868	1		protein_coding
28377	ENSACAG00000001884	BUD13	86010	94140	GL343949.1	1	BUD13 homolog [Source:HGNC Symbol;Acc:HGNC:28199]	protein_coding
28377	ENSACAG00000014012		725	7685	GL343677.1	-1		protein_coding
28377	ENSACAG00000011801	SGSM2	6522	54715	GL344126.1	1	small G protein signaling modulator 2 [Source:HGNC Symbol;Acc:HGNC:29026]	protein_coding
28377	ENSACAG00000028251		8138	9724	AAWZ02039025	-1		protein_coding
28377	ENSACAG00000016979		44	12270	GL344112.1	1		protein_coding
28377	ENSACAG00000001926	TAGLN	98090	104039	GL343949.1	1	transgelin [Source:HGNC Symbol;Acc:HGNC:11553]	protein_coding
28377	ENSACAG00000000409		1862	79860	GL344091.1	-1		protein_coding
28377	ENSACAG00000014031	COQ9	7627	17823	GL343677.1	1	coenzyme Q9 [Source:HGNC Symbol;Acc:HGNC:25302]	protein_coding
28377	ENSACAG00000013131	CAPN6	266290	321939	GL343376.1	-1	calpain 6 [Source:HGNC Symbol;Acc:HGNC:1483]	protein_coding
28377	ENSACAG00000029521		26066	27091	AAWZ02035520	1		protein_coding
28377	ENSACAG00000011352		269	19408	AAWZ02036690	-1		protein_coding
28377	ENSACAG00000002013		108247	116549	GL343949.1	-1		protein_coding
28377	ENSACAG00000017005		17882	67755	GL344112.1	-1		protein_coding
28377	ENSACAG00000009399	ABLIM1	3960229	4152149	GL343206.1	1	actin binding LIM protein 1 [Source:HGNC Symbol;Acc:HGNC:78]	protein_coding
28377	ENSACAG00000011791		62338	65889	GL344126.1	-1		protein_coding
28377	ENSACAG00000021951		2093	2614	GL344417.1	1		protein_coding
28377	ENSACAG00000028865		11386	13137	AAWZ02036718	-1		protein_coding
28377	ENSACAG00000025987		14889	21479	AAWZ02036718	-1		protein_coding
28377	ENSACAG00000014054	DOK4	26356	39812	GL343677.1	-1	docking protein 4 [Source:HGNC Symbol;Acc:HGNC:19868]	protein_coding
28377	ENSACAG00000028186		24683	27124	AAWZ02035752	-1		protein_coding
28377	ENSACAG00000013358		479057	496466	GL343376.1	1		protein_coding
28377	ENSACAG00000013224		12187	102820	GL343209.1	-1		protein_coding
28377	ENSACAG00000011227	MYLK2	636	11893	GL343768.1	-1	myosin light chain kinase 2 [Source:HGNC Symbol;Acc:HGNC:16243]	protein_coding
28377	ENSACAG00000012619		21	10407	AAWZ02038048	-1		protein_coding
28377	ENSACAG00000013362		498268	509538	GL343376.1	1		protein_coding
28377	ENSACAG00000011291	TPX2	51820	96643	GL343768.1	-1	TPX2, microtubule nucleation factor [Source:HGNC Symbol;Acc:HGNC:1249]	protein_coding
28377	ENSACAG00000015316		59964	66078	GL343677.1	-1		protein_coding
28377	ENSACAG00000028934		5417	17168	GL344699.1	-1		protein_coding
28377	ENSACAG00000026573		438047	439488	GL343209.1	-1		protein_coding
28377	ENSACAG00000014870		1323	10654	GL345054.1	-1		protein_coding
28377	ENSACAG00000013386	TRPC5	529029	653555	GL343376.1	-1	transient receptor potential cation channel subfamily C member 5 [Source:HGNC Symbol;Acc:HGNC:12337]	protein_coding
28377	ENSACAG00000002695		465468	468837	GL343209.1	1		protein_coding
28377	ENSACAG00000015322	ADGRG1	121503	137573	GL343677.1	1	adhesion G protein-coupled receptor G1 [Source:HGNC Symbol;Acc:HGNC:4512]	protein_coding
28377	ENSACAG00000006132		1253	7726	AAWZ02039578	1		protein_coding
28377	ENSACAG00000006266		14116	45452	GL344107.1	-1		protein_coding
28377	ENSACAG00000011424	BCL2L1	108479	119718	GL343768.1	1	BCL2 like 1 [Source:HGNC Symbol;Acc:HGNC:992]	protein_coding
28377	ENSACAG00000011459	COX4I2	157493	168168	GL343768.1	-1	cytochrome c oxidase subunit 4I2 [Source:HGNC Symbol;Acc:HGNC:16232]	protein_coding
28377	ENSACAG00000002698		469045	494825	GL343209.1	-1		protein_coding
28377	ENSACAG00000015387		138405	142646	GL343677.1	-1		protein_coding
28377	ENSACAG00000017895		41664	122234	GL343501.1	1		protein_coding
28377	ENSACAG00000011470		185860	195170	GL343768.1	-1		protein_coding
28377	ENSACAG00000011852	EARS2	396	10801	GL344022.1	1	glutamyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:29419]	protein_coding
28377	ENSACAG00000015392		162565	171638	GL343677.1	1		protein_coding
28377	ENSACAG00000008635		2703	13080	GL344408.1	1		protein_coding
28377	ENSACAG00000028565		530773	556326	GL343209.1	-1		protein_coding
28377	ENSACAG00000026560		32922	36352	AAWZ02035620	-1		protein_coding
28377	ENSACAG00000027717		3278	7302	AAWZ02037385	1		protein_coding
28377	ENSACAG00000029641		647252	648274	GL343209.1	1		protein_coding
28377	ENSACAG00000029140		56250	66844	GL344022.1	-1		protein_coding
28377	ENSACAG00000004850	IGDCC4	93736	180970	GL343503.1	-1	immunoglobulin superfamily DCC subclass member 4 [Source:HGNC Symbol;Acc:HGNC:13770]	protein_coding
28377	ENSACAG00000006419		205	9121	AAWZ02039224	1		protein_coding
28377	ENSACAG00000024370		42271	42747	AAWZ02035620	-1		protein_coding
28377	ENSACAG00000029527		60	1465	GL345069.1	-1		protein_coding
28377	ENSACAG00000013567	LAS1L	732803	753281	GL343376.1	1	LAS1 like, ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]	protein_coding
28377	ENSACAG00000006772	PLLP	209245	220010	GL343677.1	1	plasmolipin [Source:HGNC Symbol;Acc:HGNC:18553]	protein_coding
28377	ENSACAG00000000230	ANK3	31267	252657	GL343251.1	1	ankyrin 3 [Source:HGNC Symbol;Acc:HGNC:494]	protein_coding
28377	ENSACAG00000006738	ARL2BP	220197	231193	GL343677.1	-1	ADP ribosylation factor like GTPase 2 binding protein [Source:HGNC Symbol;Acc:HGNC:17146]	protein_coding
28377	ENSACAG00000029640		11216	12663	AAWZ02038009	1		protein_coding
28377	ENSACAG00000008925	AP1M1	789	12830	AAWZ02038146	-1	adaptor related protein complex 1 mu 1 subunit [Source:HGNC Symbol;Acc:HGNC:13667]	protein_coding
28377	ENSACAG00000023362	JUND	3142	3489	GL344469.1	1	JunD proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6206]	protein_coding
28377	ENSACAG00000005621	UHMK1	255	9356	AAWZ02038933	-1	U2AF homology motif kinase 1 [Source:HGNC Symbol;Acc:HGNC:19683]	protein_coding
28377	ENSACAG00000023320		45418	57983	GL344408.1	1		protein_coding
28377	ENSACAG00000017890	FRMD6	270572	357301	GL343501.1	1	FERM domain containing 6 [Source:HGNC Symbol;Acc:HGNC:19839]	protein_coding
28377	ENSACAG00000002761	DSP	651271	710922	GL343209.1	1	desmoplakin [Source:HGNC Symbol;Acc:HGNC:3052]	protein_coding
28377	ENSACAG00000011333		7145	8161	GL343765.1	-1		protein_coding
28377	ENSACAG00000013582	ZC3H12B	758669	765867	GL343376.1	-1	zinc finger CCCH-type containing 12B [Source:HGNC Symbol;Acc:HGNC:17407]	protein_coding
28377	ENSACAG00000029649		33246	34610	GL344469.1	1		protein_coding
28377	ENSACAG00000008333		43777	56609	GL343765.1	-1		protein_coding
28377	ENSACAG00000028276		214587	215708	GL343503.1	1		protein_coding
28377	ENSACAG00000009702		72917	83549	GL344107.1	-1		protein_coding
28377	ENSACAG00000008560		1954	19497	GL344832.1	-1		protein_coding
28377	ENSACAG00000029350		2915	4169	AAWZ02039791	1		protein_coding
28377	ENSACAG00000013639	ZC4H2	782731	794717	GL343376.1	1	zinc finger C4H2-type containing [Source:HGNC Symbol;Acc:HGNC:24931]	protein_coding
28377	ENSACAG00000000418		55659	70125	GL343765.1	1		protein_coding
28377	ENSACAG00000004752	DPP8	215752	240864	GL343503.1	-1	dipeptidyl peptidase 8 [Source:HGNC Symbol;Acc:HGNC:16490]	protein_coding
28377	ENSACAG00000006680	RSPRY1	233478	252107	GL343677.1	-1	ring finger and SPRY domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29420]	protein_coding
28377	ENSACAG00000005094		3162	25035	AAWZ02036143	1		protein_coding
28377	ENSACAG00000008594		316305	317708	GL343501.1	-1		protein_coding
28377	ENSACAG00000009466	SLITRK4	4783	7290	AAWZ02038772	-1	SLIT and NTRK like family member 4 [Source:HGNC Symbol;Acc:HGNC:23502]	protein_coding
28377	ENSACAG00000013684		844372	848916	GL343376.1	-1		protein_coding
28377	ENSACAG00000029239		23	1162	AAWZ02037650	-1		protein_coding
28377	ENSACAG00000010019	SF3B4	8955	25378	GL344255.1	-1	splicing factor 3b subunit 4 [Source:HGNC Symbol;Acc:HGNC:10771]	protein_coding
28377	ENSACAG00000008432		125	3259	AAWZ02039711	1		protein_coding
28377	ENSACAG00000008450		5432	6778	AAWZ02039711	-1		protein_coding
28377	ENSACAG00000004719	HACD3	245235	269828	GL343503.1	1	3-hydroxyacyl-CoA dehydratase 3 [Source:HGNC Symbol;Acc:HGNC:24175]	protein_coding
28377	ENSACAG00000029037		37173	38320	GL344255.1	-1		protein_coding
28377	ENSACAG00000002841	BMP6	855182	879795	GL343209.1	1	bone morphogenetic protein 6 [Source:HGNC Symbol;Acc:HGNC:1073]	protein_coding
28377	ENSACAG00000013691		900257	913096	GL343376.1	-1		protein_coding
28377	ENSACAG00000017886	RTRAF	461184	477252	GL343501.1	1	RNA transcription, translation and transport factor [Source:HGNC Symbol;Acc:HGNC:23169]	protein_coding
28377	ENSACAG00000013954		417	2384	GL344375.1	1		protein_coding
28377	ENSACAG00000014064	NEURL2	7238	21141	AAWZ02036849	1	neuralized E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:16156]	protein_coding
28377	ENSACAG00000027514		43391	50603	GL344255.1	-1		protein_coding
28377	ENSACAG00000000565		146281	196748	GL343765.1	-1		protein_coding
28377	ENSACAG00000008232		168504	188853	GL343692.1	-1		protein_coding
28377	ENSACAG00000006643	FAM192A	263852	271581	GL343677.1	1	family with sequence similarity 192 member A [Source:HGNC Symbol;Acc:HGNC:29856]	protein_coding
28377	ENSACAG00000023535		22428	24245	AAWZ02036616	-1		protein_coding
28377	ENSACAG00000024213		1173	1910	AAWZ02037214	-1		protein_coding
28377	ENSACAG00000013711		921505	946420	GL343376.1	-1		protein_coding
28377	ENSACAG00000013663		1680	2239	AAWZ02040043	-1		protein_coding
28377	ENSACAG00000005989		472	3726	AAWZ02039160	1		protein_coding
28377	ENSACAG00000004036	SNUPN	5261	11566	GL343374.1	-1	snurportin 1 [Source:HGNC Symbol;Acc:HGNC:14245]	protein_coding
28377	ENSACAG00000004673	INTS14	275083	283158	GL343503.1	-1	integrator complex subunit 14 [Source:HGNC Symbol;Acc:HGNC:25372]	protein_coding
28377	ENSACAG00000003016	TXNDC5	882795	911967	GL343209.1	-1	thioredoxin domain containing 5 [Source:HGNC Symbol;Acc:HGNC:21073]	protein_coding
28377	ENSACAG00000000030	SALL2	1011	3365	AAWZ02041297	-1	spalt like transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:10526]	protein_coding
28377	ENSACAG00000012818		42151	47725	GL344116.1	-1		protein_coding
28377	ENSACAG00000004078	SNX33	23675	48096	GL343374.1	1	sorting nexin 33 [Source:HGNC Symbol;Acc:HGNC:28468]	protein_coding
28377	ENSACAG00000006852		2372	52076	GL344184.1	-1		protein_coding
28377	ENSACAG00000028455		244	1318	AAWZ02039491	1		protein_coding
28377	ENSACAG00000000750		209941	216295	GL343765.1	-1		protein_coding
28377	ENSACAG00000003085		968989	979502	GL343209.1	-1		protein_coding
28377	ENSACAG00000002414	CSPG4	67607	148665	GL343374.1	-1	chondroitin sulfate proteoglycan 4 [Source:HGNC Symbol;Acc:HGNC:2466]	protein_coding
28377	ENSACAG00000005578		516	8292	AAWZ02038447	1		protein_coding
28377	ENSACAG00000008922		637	19026	AAWZ02036528	1		protein_coding
28377	ENSACAG00000003104		990143	1000707	GL343209.1	-1		protein_coding
28377	ENSACAG00000006827	CDK9	60128	63551	GL344184.1	1	cyclin dependent kinase 9 [Source:HGNC Symbol;Acc:HGNC:1780]	protein_coding
28377	ENSACAG00000016261	ODF3L1	160224	163955	GL343374.1	1	outer dense fiber of sperm tails 3 like 1 [Source:HGNC Symbol;Acc:HGNC:28735]	protein_coding
28377	ENSACAG00000008892	SLC35B3	1199661	1229185	GL343209.1	-1	solute carrier family 35 member B3 [Source:HGNC Symbol;Acc:HGNC:21601]	protein_coding
28377	ENSACAG00000023100		452	3492	GL344343.1	-1		protein_coding
28377	ENSACAG00000004531	DENND4A	294838	366170	GL343503.1	-1	DENN domain containing 4A [Source:HGNC Symbol;Acc:HGNC:24321]	protein_coding
28377	ENSACAG00000011513	LINGO1	603075	655813	GL343374.1	1	leucine rich repeat and Ig domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21205]	protein_coding
28377	ENSACAG00000024900		1862358	1881662	GL343209.1	-1		protein_coding
28377	ENSACAG00000001889	MAP4K5	23288	141315	GL343627.1	1	mitogen-activated protein kinase kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6867]	protein_coding
28377	ENSACAG00000011232	MRPS9	6804	46943	GL343243.1	-1	mitochondrial ribosomal protein S9 [Source:HGNC Symbol;Acc:HGNC:14501]	protein_coding
28377	ENSACAG00000005888		234	365	AAWZ02040747	-1		protein_coding
28377	ENSACAG00000006396	CPNE2	273890	321911	GL343677.1	-1	copine 2 [Source:HGNC Symbol;Acc:HGNC:2315]	protein_coding
28377	ENSACAG00000017862	NID2	477265	564142	GL343501.1	-1	nidogen 2 [Source:HGNC Symbol;Acc:HGNC:13389]	protein_coding
28377	ENSACAG00000008864		1998233	2022038	GL343209.1	-1		protein_coding
28377	ENSACAG00000000276	CCDC183	7398	12860	GL344343.1	1	coiled-coil domain containing 183 [Source:HGNC Symbol;Acc:HGNC:28236]	protein_coding
28377	ENSACAG00000008801	TFAP2A	2365639	2393629	GL343209.1	-1	transcription factor AP-2 alpha [Source:HGNC Symbol;Acc:HGNC:11742]	protein_coding
28377	ENSACAG00000011520	HMG20A	820023	846413	GL343374.1	-1	high mobility group 20A [Source:HGNC Symbol;Acc:HGNC:5001]	protein_coding
28377	ENSACAG00000022350	GCNT2	2486045	2574767	GL343209.1	1	glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group) [Source:HGNC Symbol;Acc:HGNC:4204]	protein_coding
28377	ENSACAG00000008907		157682	159046	GL343243.1	-1		protein_coding
28377	ENSACAG00000013798	GABRA3	966235	974094	GL343376.1	1	gamma-aminobutyric acid type A receptor alpha3 subunit [Source:HGNC Symbol;Acc:HGNC:4077]	protein_coding
28377	ENSACAG00000004479	RAB11A	391792	409474	GL343503.1	1	RAB11A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9760]	protein_coding
28377	ENSACAG00000000303	RABL6	14915	38282	GL344343.1	1	RAB, member RAS oncogene family like 6 [Source:HGNC Symbol;Acc:HGNC:24703]	protein_coding
28377	ENSACAG00000025433		261048	264025	GL343251.1	-1		protein_coding
28377	ENSACAG00000011547	PEAK1	861368	898846	GL343374.1	1	pseudopodium enriched atypical kinase 1 [Source:HGNC Symbol;Acc:HGNC:29431]	protein_coding
28377	ENSACAG00000021049		2583459	2588653	GL343209.1	1		protein_coding
28377	ENSACAG00000007270	TMEM182	1357691	1409141	GL343243.1	-1	transmembrane protein 182 [Source:HGNC Symbol;Acc:HGNC:26391]	protein_coding
28377	ENSACAG00000004442		413830	522243	GL343503.1	-1		protein_coding
28377	ENSACAG00000011566	TSPAN3	913524	928765	GL343374.1	1	tetraspanin 3 [Source:HGNC Symbol;Acc:HGNC:17752]	protein_coding
28377	ENSACAG00000001589	CCDC6	313809	335357	GL343251.1	1	coiled-coil domain containing 6 [Source:HGNC Symbol;Acc:HGNC:18782]	protein_coding
28377	ENSACAG00000008708	MAK	2593160	2629247	GL343209.1	-1	male germ cell associated kinase [Source:HGNC Symbol;Acc:HGNC:6816]	protein_coding
28377	ENSACAG00000007279	MFSD9	1416673	1436530	GL343243.1	1	major facilitator superfamily domain containing 9 [Source:HGNC Symbol;Acc:HGNC:28158]	protein_coding
28377	ENSACAG00000007422		328312	328502	GL343677.1	-1		protein_coding
28377	ENSACAG00000000122		7665	9254	GL344817.1	1		protein_coding
28377	ENSACAG00000027930		25	8842	AAWZ02038610	-1		protein_coding
28377	ENSACAG00000001625	SLC16A9	391754	427843	GL343251.1	1	solute carrier family 16 member 9 [Source:HGNC Symbol;Acc:HGNC:23520]	protein_coding
28377	ENSACAG00000007302	SLC9A2	1436907	1479055	GL343243.1	-1	solute carrier family 9 member A2 [Source:HGNC Symbol;Acc:HGNC:11072]	protein_coding
